起点ID,起点类型,关系名称,终点ID,终点类型,示例
f13ab2fe8afd,诗文实体,属于形式,be6715edcbe7db8f,形式实体,峨眉山月歌 → 属于形式 → 诗
13c4e7658327,诗文实体,属于形式,be6715edcbe7db8f,形式实体,野望 → 属于形式 → 诗
6fb73f607ad3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,枫桥夜泊 → 属于形式 → 诗
3c36881bd247,诗文实体,属于形式,be6715edcbe7db8f,形式实体,山行 → 属于形式 → 诗
2693da9ced02,诗文实体,属于形式,c809738f22126c36,形式实体,长相思·一重山 → 属于形式 → 词
3fd388b378db,诗文实体,属于形式,be6715edcbe7db8f,形式实体,秋兴八首·其一 → 属于形式 → 诗
dc47feaddcd7,诗文实体,属于形式,be6715edcbe7db8f,形式实体,燕歌行二首·其一 → 属于形式 → 诗
ed5d95fe49c7,诗文实体,属于形式,be6715edcbe7db8f,形式实体,子夜吴歌·秋歌 → 属于形式 → 诗
e880525df22e,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,天净沙·秋 → 属于形式 → 曲
507642b89a06,诗文实体,属于形式,be6715edcbe7db8f,形式实体,山中 → 属于形式 → 诗
f4c976914347,诗文实体,属于形式,c809738f22126c36,形式实体,菩萨蛮·平林漠漠烟如织 → 属于形式 → 词
58313be2d918,诗文实体,属于形式,be6715edcbe7db8f,形式实体,江雪 → 属于形式 → 诗
d61bf6c27218,诗文实体,属于形式,be6715edcbe7db8f,形式实体,逢雪宿芙蓉山主人 → 属于形式 → 诗
8f1be8b774c2,诗文实体,属于形式,be6715edcbe7db8f,形式实体,雪梅 → 属于形式 → 诗
f4f3de69130c,诗文实体,属于形式,be6715edcbe7db8f,形式实体,观猎 → 属于形式 → 诗
fc0f5406ef57,诗文实体,属于形式,be6715edcbe7db8f,形式实体,夜雪 → 属于形式 → 诗
f36d338e1fc5,诗文实体,属于形式,be6715edcbe7db8f,形式实体,阁夜 → 属于形式 → 诗
038457ce8c4e,诗文实体,属于形式,be6715edcbe7db8f,形式实体,终南望余雪 → 属于形式 → 诗
6cbb08b97493,诗文实体,属于形式,be6715edcbe7db8f,形式实体,北风行 → 属于形式 → 诗
ecc9acd2b27a,诗文实体,属于形式,be6715edcbe7db8f,形式实体,山中雪后 → 属于形式 → 诗
7efd4d57fa64,诗文实体,属于形式,be6715edcbe7db8f,形式实体,雪梅·其二 → 属于形式 → 诗
562777d53e15,诗文实体,属于形式,be6715edcbe7db8f,形式实体,邯郸冬至夜思家 → 属于形式 → 诗
257be0e7811c,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,天净沙·冬 → 属于形式 → 曲
d94cffe12180,诗文实体,属于形式,c809738f22126c36,形式实体,踏莎行·雪似梅花 → 属于形式 → 词
62fcb0fd4611,诗文实体,属于形式,be6715edcbe7db8f,形式实体,对雪 → 属于形式 → 诗
22861b058f71,诗文实体,属于形式,be6715edcbe7db8f,形式实体,嘲王历阳不肯饮酒 → 属于形式 → 诗
b629f4ffa566,诗文实体,属于形式,be6715edcbe7db8f,形式实体,青松 → 属于形式 → 诗
7c14409ca751,诗文实体,属于形式,be6715edcbe7db8f,形式实体,书愤 → 属于形式 → 诗
076cedfce20c,诗文实体,属于形式,be6715edcbe7db8f,形式实体,左迁至蓝关示侄孙湘 → 属于形式 → 诗
6c70f0fd42f9,诗文实体,属于形式,c809738f22126c36,形式实体,小重山·昨夜寒蛩不住鸣 → 属于形式 → 词
d01bc3fbb10b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,别云间 → 属于形式 → 诗
12cc76ba7474,诗文实体,属于形式,be6715edcbe7db8f,形式实体,关山月 → 属于形式 → 诗
b10e82f58a4d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,贫交行 → 属于形式 → 诗
9e88fe42f765,诗文实体,属于形式,be6715edcbe7db8f,形式实体,轻肥 → 属于形式 → 诗
3ef8dae7d2d3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,对酒 → 属于形式 → 诗
8054ab00e835,诗文实体,属于形式,be6715edcbe7db8f,形式实体,封丘作 → 属于形式 → 诗
367228430bf3,诗文实体,属于形式,c809738f22126c36,形式实体,剔银灯·与欧阳公席上分题 → 属于形式 → 词
023918db303e,诗文实体,属于形式,be6715edcbe7db8f,形式实体,书愤二首 → 属于形式 → 诗
35e19c408e7a,诗文实体,属于形式,be6715edcbe7db8f,形式实体,陇头吟 → 属于形式 → 诗
e3f8ed794da4,诗文实体,属于形式,be6715edcbe7db8f,形式实体,悲愤诗 → 属于形式 → 诗
84db20c000e7,诗文实体,属于形式,c809738f22126c36,形式实体,鹧鸪天·离豫章别司马汉章大监 → 属于形式 → 词
4c3b1c0bbb48,诗文实体,属于形式,be6715edcbe7db8f,形式实体,无题·惯于长夜过春时 → 属于形式 → 诗
df58b15d2068,诗文实体,属于形式,c809738f22126c36,形式实体,减字木兰花·淮山隐隐 → 属于形式 → 词
9fba57e9ee95,诗文实体,属于形式,be6715edcbe7db8f,形式实体,伤春 → 属于形式 → 诗
86e2d074efc3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,凝碧池 → 属于形式 → 诗
